Monday,"Mar 05, 2018",7:30 PM,Portland Trail Blazers at Los Angeles Lakers
Wednesday,"Mar 07, 2018",7:30 PM,Orlando Magic at Los Angeles Lakers
Friday,"Mar 09, 2018",7:00 PM,Los Angeles Lakers at Denver Nuggets
Sunday,"Mar 11, 2018",6:00 PM,Cleveland Cavaliers at Los Angeles Lakers
Tuesday,"Mar 13, 2018",7:30 PM,Denver Nuggets at Los Angeles Lakers
Wednesday,"Mar 14, 2018",7:30 PM,Los Angeles Lakers at Golden State Warriors (Splash Towel Giveaway)
Friday,"Mar 16, 2018",7:30 PM,Miami Heat at Los Angeles Lakers
Monday,"Mar 19, 2018",7:00 PM,Los Angeles Lakers at Indiana Pacers
Thursday,"Mar 22, 2018",7:00 PM,Los Angeles Lakers at New Orleans Pelicans
Saturday,"Mar 24, 2018",7:00 PM,Los Angeles Lakers at Memphis Grizzlies
Monday,"Mar 26, 2018",7:00 PM,Los Angeles Lakers at Detroit Pistons
Wednesday,"Mar 28, 2018",7:30 PM,Dallas Mavericks at Los Angeles Lakers
Friday,"Mar 30, 2018",7:30 PM,Milwaukee Bucks at Los Angeles Lakers
Sunday,"Apr 01, 2018",6:30 PM,Sacramento Kings at Los Angeles Lakers
Tuesday,"Apr 03, 2018",7:00 PM,Los Angeles Lakers at Utah Jazz
Wednesday,"Apr 04, 2018",7:30 PM,San Antonio Spurs at Los Angeles Lakers
Friday,"Apr 06, 2018",7:30 PM,Minnesota Timberwolves at Los Angeles Lakers
Sunday,"Apr 08, 2018",3:00 PM,Utah Jazz at Los Angeles Lakers
Tuesday,"Apr 10, 2018",7:30 PM,Houston Rockets at Los Angeles Lakers
Wednesday,"Apr 11, 2018",7:30 PM,Los Angeles Lakers at Los Angeles Clippers
